child_id,chsex,chethnic,chlang,chldrel,preprim,agegr1,lang_math_test,verbal_score,math_score,lang_instr,testlang_lang,raw_lang,perco_lang,testlang_math,raw_maths,perco_maths,lang_primary,typesite_r1,zwfa,zhfa,zbfa,underweight,stunting,thinness,caredu_r1,careage_r1,caresex_r1,carerel_r1,carecantread_r1,ownlandhse_r1,numante,literate_r2,levlwrit_r2,levlread_r2,typesite_r3,hhsize,wi_new,hq_new,sv_new,cd_new,drwaterq_new,toiletq_new,elecq_new,cookingq_new,aniany,ownhouse,entype_r4,timesch_r4,childloc_r4,hwork_r5,no_activ,type_activ,region,hghgrade_4,hghgrade_final,hghgrade_4_num,hghgrade_final_num,care_educ_num,active,wage_employ,self_employ,wage_employII,self_employII,rural_3,IMTI,E_is
21035,Female,Amhara,Amharic,7,1,6,Amharic,188,20,Amharic,Amharic,17,70.83333587646484,Amharic,17,60.71428680419922,Amharic,1,-2.04,-1.43,-1.71,1,0,0,5,30,2,1,0,0,NA,1,3,4,1,6,0.5092592835426331,0.2777777910232544,0.75,0.5,1,1,1,0,1,0,4,5,0,NA,NA,NA,Addis Ababa,12,12,12,12,5,NA,NA,NA,NA,NA,0,6,0.75
21036,Male,Oromo,Afaan Oromo,7,1,6,Amharic,185,24,Amharic,Amharic,22,91.66666412353516,Amharic,24,85.71428680419922,Amharic,1,-1.87,0.19,-3.43,0,0,2,0,32,2,1,1,0,NA,1,3,4,1,3,0.45185184478759766,0.3055555522441864,0.75,0.30000001192092896,1,1,1,0,1,0,4,NA,0,0,NA,NA,Addis Ababa,12,14,12,14,0,0,0,0,0,0,0,0,0
21037,Female,Amhara,Amharic,7,1,6,Amharic,184,4,Amharic,Amharic,16,66.66666412353516,Amharic,10,35.71428680419922,Amharic,1,-1.6600000000000001,-0.46,-2.18,0,0,1,0,33,2,1,1,0,NA,1,3,4,1,7,0.29920634627342224,0.0476190485060215,0.25,0.6000000238418579,1,0,0,0,0,0,4,30,1,10,1,13,Addis Ababa,8,9,8,9,0,1,1,NA,1,NA,0,6,0.75
21038,Female,Oromo,Amharic,7,1,7,Amharic,175,7,Amharic,Amharic,18,75,Amharic,19,67.85713958740234,Amharic,1,-0.35000000000000003,-0.11,-0.45,0,0,0,4,35,2,1,0,0,NA,1,3,4,1,4,0.5277777910232544,0.3333333432674408,0.75,0.5,1,1,1,0,0,1,4,15,1,11,1,13,Addis Ababa,11,13,11,13,4,1,1,NA,1,NA,0,0,0
21039,Female,Oromo,Amharic,7,1,7,Amharic,143,4,NA,NA,NA,NA,NA,NA,NA,Amharic,1,0.39,0.99,-0.35000000000000003,0,0,0,0,25,2,2,1,0,NA,1,3,4,1,7,0.45793652534484863,0.2738095223903656,0.5,0.6000000238418579,1,1,0,0,0,0,NA,NA,NA,0,1,19,Addis Ababa,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,0
21040,Male,Other,Amharic,7,1,6,Amharic,173,11,Amharic,Amharic,16,66.66666412353516,Amharic,18,64.28571319580078,Amharic,1,-1.02,-0.96,-0.63,0,0,0,3,30,2,1,0,0,NA,0,3,3,1,6,0.6018518209457397,0.3055555522441864,1,0.5,1,1,1,1,1,0,4,15,1,0,1,10,Addis Ababa,8,10,8,10,3,0,NA,1,NA,1,0,0,0
21041,Female,Oromo,Amharic,7,1,7,Amharic,172,2,Amharic,Amharic,16,66.66666412353516,Amharic,12,42.85714340209961,Amharic,1,-0.24,-0.72,0.22,0,0,0,0,54,2,3,1,0,NA,1,3,4,1,5,0.7222222089767456,0.5666666626930237,1,0.6000000238418579,1,1,1,1,0,0,4,335,1,0,NA,NA,Addis Ababa,11,14,11,14,0,0,0,0,0,0,0,0,0
21042,Male,Oromo,Amharic,2,1,6,Amharic,182,6,Amharic,Amharic,11,45.83333206176758,Amharic,15,53.57143020629883,Amharic,1,-2.45,-0.84,-3.13,1,0,2,2,30,2,1,0,0,NA,0,3,2,1,2,0.472222238779068,0.4166666865348816,0.5,0.5,1,0,1,0,0,0,4,30,1,0,NA,NA,Addis Ababa,11,12,11,12,2,0,0,0,0,0,0,0,0
21043,Male,Gurage,Amharic,7,1,8,Amharic,167,6,Amharic,Amharic,15,62.5,Amharic,19,67.85713958740234,Amharic,1,-0.87,-0.26,-1.1300000000000001,0,0,0,4,38,2,1,0,1,NA,0,2,3,1,9,0.4851851761341095,0.3055555522441864,0.75,0.4000000059604645,1,1,1,0,0,1,4,15,1,0,1,10,Addis Ababa,6,6,6,6,4,0,NA,1,NA,1,0,0,0
21044,Female,Oromo,Amharic,7,1,7,Amharic,109,1,NA,NA,NA,NA,NA,NA,NA,Amharic,1,-0.62,0.07,-1.03,0,0,0,0,40,2,1,1,1,NA,1,3,4,1,9,0.5790123343467712,0.28703704476356506,0.75,0.699999988079071,1,1,1,0,1,1,NA,NA,NA,NA,NA,NA,Addis Ababa,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,0
