child_id,chsex,chethnic,chlang,chldrel,preprim,agegr1,lang_math_test,verbal_score,math_score,lang_instr,raw_lang,perco_lang,raw_maths,perco_maths,lang_primary,typesite_r1,zwfa,zhfa,zbfa,underweight,stunting,thinness,caredu_r1,careage_r1,caresex_r1,carerel_r1,carecantread_r1,ownlandhse_r1,typesite_r3,hhsize,wi_new,hq_new,sv_new,cd_new,drwaterq_new,toiletq_new,elecq_new,cookingq_new,aniany,ownhouse,hwork_r5,no_activ,type_activ,region,hghgrade_4,hghgrade_final,hghgrade_4_num,hghgrade_final_num,care_educ_num,active,wage_employ,self_employ,wage_employII,self_employII,IMTI,E_is
121038,Male,Gurage,Gurage,2,1,7,Amharic,100,5,Amharic,13,54.16666793823242,12,42.85714340209961,Amharic,2,-5.14,-0.74,-7.55,2,0,NA,0,35,2,1,1,1,2,8,0.15694443881511688,0.02083333395421505,0.25,0.20000000298023224,0,1,0,0,1,1,0,1,9,SNNP,10,10,10,10,0,0,NA,1,NA,1,0,0
121040,Female,Gurage,Gurage,2,1,7,Amharic,144,13,Amharic,16,66.66666412353516,18,64.28571319580078,Amharic,2,-4.39,-1.3900000000000001,-5.54,2,0,NA,0,31,2,1,1,1,2,8,0.24027778208255768,0.02083333395421505,0.5,0.20000000298023224,0,1,1,0,1,1,0,1,10,SNNP,10,10,10,10,0,0,NA,1,NA,1,0,0
121041,Male,Gurage,Gurage,2,1,5,Amharic,156,9,NA,NA,NA,NA,NA,Amharic,2,-5.19,-1.95,-6.51,2,0,NA,0,40,2,1,1,1,2,6,0.13518518209457397,0.0555555559694767,0.25,0.10000000149011612,0,1,0,0,1,1,NA,NA,NA,SNNP,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0
121043,Male,Gurage,Gurage,2,1,8,Amharic,137,2,Amharic,16,66.66666412353516,17,60.71428680419922,Amharic,2,-4.63,0.21,-7.51,2,0,NA,0,32,2,1,1,1,1,3,0.4203703701496124,0.3611111044883728,0.5,0.4000000059604645,0,1,0,1,0,0,4,1,1,Oromia,6,6,6,6,0,1,NA,1,0,0,0,0
121044,Male,Gurage,Other,2,0,5,Amharic,168,3,NA,NA,NA,NA,NA,Amharic,2,-5.0600000000000005,-2.43,-5.8100000000000005,2,1,NA,0,36,2,1,1,1,1,3,0.520370364189148,0.3611111044883728,1,0.20000000298023224,1,1,1,1,0,0,NA,NA,NA,Oromia,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0
121045,Male,Gurage,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,-4.75,-0.06,-7.48,2,0,NA,0,40,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SNNP,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0
121046,Female,Gurage,Gurage,2,1,7,Amharic,155,15,NA,NA,NA,NA,NA,Amharic,2,-3.33,-0.11,-5.07,2,0,NA,28,26,2,1,0,1,2,9,0.4475308656692505,0.34259259700775146,0.5,0.5,0,1,1,0,1,1,0,1,10,SNNP,NA,NA,NA,NA,0,0,NA,1,NA,1,0,0
121047,Male,Gurage,Gurage,2,1,5,Amharic,127,13,Amharic,13,54.16666793823242,14,50,Amharic,2,-4.8100000000000005,-0.84,-6.890000000000001,2,0,NA,0,30,2,1,1,1,2,9,0.07283950597047806,0.018518518656492233,0,0.20000000298023224,0,0,0,0,1,1,0,1,9,SNNP,10,10,10,10,0,0,NA,1,NA,1,0,0
121048,Male,Gurage,Gurage,2,0,5,Amharic,154,14,Amharic,19,79.16666412353516,19,67.85713958740234,Amharic,2,-5.12,-0.65,-7.58,2,0,NA,3,29,2,1,1,1,2,7,0.19920635223388672,0.0476190485060215,0.25,0.30000001192092896,0,1,0,0,1,1,NA,NA,NA,SNNP,10,10,10,10,3,NA,NA,NA,NA,NA,0,0
121049,Female,Gurage,Gurage,2,1,8,Amharic,146,11,NA,NA,NA,NA,NA,Amharic,2,-3.36,-0.37,-4.88,2,0,2,0,45,2,1,1,1,2,5,0.25555557012557983,0.06666667014360428,0.5,0.20000000298023224,0,1,1,0,1,1,NA,NA,NA,SNNP,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0
121050,Female,Gurage,Gurage,2,1,7,Amharic,133,4,NA,NA,NA,NA,NA,Amharic,2,-4.38,-1.83,-5.12,2,0,NA,2,25,2,1,0,1,2,8,0.15694443881511688,0.02083333395421505,0.25,0.20000000298023224,0,1,0,0,1,1,0,1,10,SNNP,NA,NA,NA,NA,2,0,NA,1,NA,1,0,0
121053,Male,Gurage,Other,2,1,6,Amharic,84,2,Amharic,9,37.5,9,32.14285659790039,Amharic,2,-4.69,-0.74,-6.78,2,0,NA,0,39,2,1,1,1,2,10,0.22777777910232544,0.03333333507180214,0.25,0.4000000059604645,0,1,0,0,1,1,0,1,10,SNNP,6,6,6,6,0,0,NA,1,NA,1,0,0
121054,Male,Gurage,Gurage,2,1,8,Amharic,118,5,Hadiya,12,50,6,21.428571701049805,Hadiya,2,-4.98,-1.82,-6.2700000000000005,2,0,NA,0,36,2,1,1,1,2,8,0.07361111044883728,0.02083333395421505,0,0.20000000298023224,0,0,0,0,1,1,10,1,12,SNNP,4,4,4,4,0,1,1,NA,0,0,0,0
121055,Male,Gurage,Gurage,2,1,7,Amharic,180,3,NA,NA,NA,NA,NA,Amharic,2,-4.74,-1.24,-6.42,2,0,NA,0,30,2,1,1,1,2,4,0.22777777910232544,0.3333333432674408,0.25,0.10000000149011612,0,1,0,0,1,1,11,1,5,SNNP,NA,NA,NA,NA,0,1,1,NA,0,0,0,0
121056,Male,Gurage,Gurage,2,0,5,Amharic,187,22,Amharic,20,83.33333587646484,24,85.71428680419922,Amharic,2,-4.2700000000000005,-0.02,-6.8,2,0,NA,2,40,1,1,0,1,2,6,0.16851851344108582,0.0555555559694767,0.25,0.20000000298023224,0,1,0,0,1,1,NA,NA,NA,SNNP,14,14,14,14,2,NA,NA,NA,NA,NA,0,0
121057,Female,Gurage,Siltigna,2,1,9,Amharic,124,17,NA,NA,NA,NA,NA,Amharic,2,-4.14,-0.6,-5.84,2,0,NA,0,34,2,1,1,1,2,5,0.2888889014720917,0.3166666626930237,0.25,0.30000001192092896,0,1,0,0,1,1,10,1,13,SNNP,NA,NA,NA,NA,0,1,1,NA,1,NA,0,0
131001,Male,Wolayta,Wolayta,7,0,8,Wolayta,139,1,Wolayta,13,54.16666793823242,15,53.57143020629883,Wolayta,2,-1.49,-0.91,-1.4000000000000001,0,0,0,28,40,2,1,1,1,2,5,0.4333333373069763,0.3499999940395355,0.75,0.20000000298023224,1,1,1,0,1,1,0,1,20,SNNP,7,10,7,10,0,0,0,0,0,0,4,0.5
131002,Male,Amhara,Wolayta,7,0,10,Wolayta,114,NA,Wolayta,11,45.83333206176758,12,42.85714340209961,Wolayta,2,-6.23,-3.7800000000000002,-6.71,NA,2,NA,0,43,2,1,1,0,2,8,0.4472222328186035,0.2916666567325592,0.75,0.30000001192092896,1,1,1,0,1,0,NA,NA,NA,SNNP,5,5,5,5,0,NA,NA,NA,NA,NA,4,0
